query_id,crm_name,original_top1,exploratory_top1,adjudication,label,confidence,correction_effect,error_family
2404,CENTRE PSYCHOTHERAPIQUE DE NANCY,26540011900441,26540011900011,26540011900011,MATCH_EXACT,HIGH,FIX,SUPPORT_SITE_VS_HOSPITAL
3398,CASTOR LAB'74,82920205000011,49368196900025,49368196900025,MATCH_EXACT,HIGH,FIX,COLOCATED_PROPERTY_ENTITY
3440,HOLDING CHEMINAL (R TECHNOLOGIES),51316761900024,83115766400028,83115766400028,MATCH_EXACT,MEDIUM,FIX,GROUP_ALIAS
3738,BTL TRANSPORTS,32704833600058,32704833600033,32704833600033,MATCH_EXACT,MEDIUM,FIX,BRANDED_SUBSITE_VS_GENERIC_CRM
4047,BAIE DE SOMME HABITAT (BDSH),89765783900014,27800001300013,27800001300013,MATCH_EXACT,HIGH,FIX,COLOCATED_UNRELATED_ENTITY
4609,LYCEE JACQUES LE CARON,19620011700030,19620011700014,19620011700014,MATCH_EXACT,HIGH,FIX,WRONG_EDUCATION_SITE
5000,OPTILUM,94028877200012,79372988000013,79372988000013,MATCH_EXACT,HIGH,FIX,EXACT_LEGAL_NAME
5584,UNION TERRITORIALE INTERPROFESSIONNELLE,77922145600063,77922145600022,77922145600022,MATCH_EXACT,MEDIUM,FIX,LOCAL_SUBSITE_VS_HEADQUARTERS
5745,CESIS,53755402400019,87020005200047,87020005200047,MATCH_EXACT,HIGH,FIX,COLOCATED_UNRELATED_ENTITY
5989,CENTRE HOSPITALIER SPECIALISE DE L'YONNE,26890002400236,26890002400012,26890002400012,MATCH_EXACT,HIGH,FIX,SUPPORT_SITE_VS_HOSPITAL
6221,SMMO - SYNDICAT MIXTE DU MONT D'OR,20005188600022,20005188600014,20005188600014,MATCH_EXACT,MEDIUM,FIX,BRANDED_SUBSITE_VS_GENERIC_CRM
6717,COMMUNAUTE DES COMMUNES DU VALLESPIR,24660037300111,24660037300087,24660037300087,MATCH_EXACT,HIGH,FIX,TECHNICAL_SITE_VS_ADMINISTRATION
6974,HOTEL DE BUCI,35110234800015,55210360800014,55210360800014,MATCH_EXACT,HIGH,FIX,COLOCATED_PROPERTY_ENTITY
7363,ZYCOM,40876913100025,90095348000010,90095348000010,MATCH_EXACT,HIGH,FIX,EXACT_LEGAL_NAME
7591,ACOR ASSOCIATION DU CENTRE DE L ORVAL,40255960300061,40255960300012,40255960300012,MATCH_EXACT,HIGH,FIX,WRONG_SITE_SAME_SIREN
8193,CENTRE HOSPITALIER SAINT SEVER,26400331000028,26400331000010,26400331000010,MATCH_EXACT,HIGH,FIX,EHPAD_SUBSITE_VS_HOSPITAL
8234,AVNET MASSY,40890055300053,56212668000122,56212668000122,MATCH_EXACT,HIGH,FIX,COLOCATED_PROPERTY_ENTITY
8381,RSM EST,80070989100074,91652079400048,91652079400048,MATCH_EXACT,MEDIUM,FIX,BRAND_VS_LOCAL_LEGAL_ENTITY
899,CCI EMERAINVILLE,18770918300086,13001727000500,18770918300086,MATCH_EXACT,HIGH,REGRESSION,INSTITUTIONAL_SUCCESSOR_BIAS
9063,EXPERIUM-NAX GROUP,41182102800049,82308747300026,82308747300026,MATCH_EXACT,HIGH,FIX,EXACT_LEGAL_NAME
9174,NEMERA LYON,38805696200037,42127782300066,42127782300066,MATCH_EXACT,HIGH,FIX,FORMER_MANUFACTURING_ENTITY_VS_CURRENT_SERVICES_HQ
9406,LIGUE AUVERGNE RHONE-ALPES DE HANDBALL,31424703200035,31443893800032,,AMBIGUOUS,HIGH,AMBIGUOUS,LEAGUE_AND_DEPARTMENTAL_COMMITTEE_COLOCATED
9475,CABINET ERIC FARGNOLI,99187372000015,49272522100021,49272522100021,MATCH_EXACT,HIGH,FIX,COLOCATED_PROPERTY_ENTITY
9546,ALCYACONSEIL,53976478700039,44378515900023,44101664900036,MATCH_EXACT,HIGH,NEITHER,RANKER_MISSED_TRUE_CANDIDATE_RANK30
fresh:AC018937,AVELIS GROUP,75320135900035,53470615500015,75320135900035,MATCH_EXACT,HIGH,REGRESSION,GROUP_VS_LOGISTICS_SUBSIDIARY
fresh:FO004682,TAKLOPE,83259988000016,53896068300042,53896068300042,MATCH_EXACT,HIGH,FIX,STORE_ENTITY_VS_ECOMMERCE_BRAND_OWNER
fresh:FR034134,AXIM,81536142300040,88242404700034,88242404700034,MATCH_EXACT,HIGH,FIX,COLOCATED_PROPERTY_ENTITY
fresh:FR035222,CLINIQUE DES CHAMPS ELYSEES CAEN,91801800300023,84362334900167,84362334900167,MATCH_EXACT,HIGH,FIX,INDIVIDUAL_PRACTITIONER_VS_CLINIC_OPERATOR
fresh:FR039088,DALKIA-54425001DRDCW,42028724500054,45650053702832,45650053702832,MATCH_EXACT,MEDIUM,FIX,COLOCATED_ENERGY_ENTITY
