query_id,label_kind,ground_truth_siret,ground_truth_siren,reliability,previous_label_kind,previous_ground_truth_siret,input_siret,pipeline_predicted_siret,truth_equals_input_siret,ranker_top1_correct,label_changed,error_family,evidence_reference,source_audit
4769,MATCH_EXACT,78980027300011,789800273,HIGH,AMBIGUOUS,,38506062900099,78980027300011,False,True,True,STALE_PREDECESSOR,https://www.ibc-dialog.fr/mentions-legales,reports/v412_remaining_review_audit_next25.csv
5020,MATCH_EXACT,78071394700015,780713947,HIGH,AMBIGUOUS,,78071394700015,83435639600012,True,False,True,INSTITUTE_ASSOCIATION_VS_CFC_COLOCATED,https://institut-lemonnier.fr/mentions-legales/,reports/v412_remaining_review_audit_next25.csv
5052,AMBIGUOUS,,,HIGH,AMBIGUOUS,,80863414100101,77568013500321,False,False,False,MULTIPLE_PROMOTRANS_ENTITIES_COLOCATED,https://www.promotrans.fr/mentions-legales/,reports/v412_remaining_review_audit_next25.csv
5139,MATCH_EXACT,77567227232127,775672272,HIGH,MATCH_EXACT,77567227232127,77567227232127,77567227232127,True,True,False,ACCEPTOR_OVER_ABSTENTION,https://www.croix-rouge.fr/site-de-formation-croix-rouge-competence-de-calais,reports/v412_remaining_review_audit_next25.csv
5175,MATCH_EXACT,55210698100046,552106981,HIGH,AMBIGUOUS,,55210698100046,55210698100046,True,True,True,COLOCATED_GROUP_ENTITIES,https://www.societe.com/societe/graftech-france-s-n-c-552106981.html,reports/v412_remaining_review_audit_batch2.csv
5215,MATCH_EXACT,75328949500016,753289495,HIGH,AMBIGUOUS,,75328949500016,75328949500016,True,True,True,GROUP_CONTEXT_IN_CRM_NAME,https://www.societe.com/societe/fp-holding-753289495.html,reports/v412_remaining_review_audit_batch2.csv
5298,MATCH_EXACT,52339010200029,523390102,HIGH,AMBIGUOUS,,52339010200029,52339010200029,True,True,True,COLOCATED_RELATED_ENTITIES,https://www.societe.com/societe/ekoscan-523390102.html,reports/v412_remaining_review_audit_batch2.csv
5363,MATCH_EXACT,25710334100026,257103341,HIGH,AMBIGUOUS,,25710334100026,25710334100026,True,True,True,PUBLIC_ALIAS_VS_LONG_LEGAL_NAME,https://www.georisques.gouv.fr/risques/installations/donnees/details/0025000022,reports/v412_remaining_review_audit_batch2.csv
5620,MATCH_EXACT,39081398800016,390813988,HIGH,AMBIGUOUS,,39081398800016,39081398800016,True,True,True,COLOCATED_GROUP_ENTITIES,https://www.societe.com/societe/laboratoires-thea-390813988.html,reports/v412_remaining_review_audit_batch2.csv
5662,MATCH_EXACT,42866990700043,428669907,HIGH,AMBIGUOUS,,42866990700043,42866990700043,True,True,True,FALSE_AMBIGUOUS_LABEL,https://www.societe.com/societe/hair-design-group-428669907.html,reports/v412_remaining_review_audit_batch2.csv
5768,MATCH_EXACT,33153169900121,331531699,HIGH,AMBIGUOUS,,33153169900121,33153169900121,True,True,True,COLOCATED_UNRELATED_ENTITIES,https://annuaire-entreprises.puy-de-dome.cci.fr/entreprise/63800/cournon-d-auvergne/33153169900121/arachnee-concerts,reports/v412_remaining_review_audit_batch2.csv
5796,MATCH_EXACT,48408705100021,484087051,HIGH,AMBIGUOUS,,48408705100021,48408705100021,True,True,True,NEAR_RELATED_LEGAL_NAME,https://entreprises.lefigaro.fr/sec-sauvestre-tanguy-et-associes-63/entreprise-484087051,reports/v412_remaining_review_audit_batch2.csv
6246,MATCH_EXACT,52150829100023,521508291,HIGH,AMBIGUOUS,,52150829100023,52150829100023,True,True,True,MULTIPLE_SITES_AND_COLOCATED_SCI,https://www.societe.com/societe/delta-immo-521508291.html,reports/v412_remaining_review_audit_batch2.csv
6324,MATCH_EXACT,34004392600179,340043926,HIGH,MATCH_EXACT,34004392600179,34004392600179,34004392600179,True,True,False,ACCEPTOR_OVER_ABSTENTION,https://www.grenoble.cci.fr/entreprise/38170/seyssinet-pariset/34004392600179/40-30,reports/v412_remaining_review_audit_batch2.csv
6436,MATCH_EXACT,30645031300045,306450313,HIGH,AMBIGUOUS,,30645031300045,30645031300045,True,True,True,MISALIGNED_HISTORICAL_LABEL,https://annuaire-entreprises.data.gouv.fr/etablissement/30645031300045,reports/v412_remaining_review_audit_batch2.csv
6841,MATCH_EXACT,39838570800027,398385708,HIGH,AMBIGUOUS,,39838570800027,39838570800027,True,True,True,MISALIGNED_HISTORICAL_LABEL,https://annuaire-entreprises.data.gouv.fr/etablissement/39838570800027,reports/v412_remaining_review_audit_batch2.csv
6886,MATCH_EXACT,19753667500014,197536675,HIGH,MATCH_EXACT,19753667500014,19753667500014,19753667500014,True,True,False,ACCEPTOR_OVER_ABSTENTION,https://lannuaire.service-public.gouv.fr/gouvernement/09e2bb8b-cd81-4ebd-ada0-d150201968c7,reports/v412_remaining_review_audit_batch2.csv
7188,MATCH_EXACT,90000530700021,900005307,HIGH,AMBIGUOUS,,90000530700021,90000530700021,True,True,True,COMMERCIAL_NAME_VS_LEGAL_NAME,https://annuaire-entreprises.data.gouv.fr/entreprise/alsaceterminal-swissterminal-900005307,reports/v412_remaining_review_audit_batch2.csv
7233,MATCH_EXACT,26680005100010,266800051,HIGH,AMBIGUOUS,,26680005100010,26680005100010,True,True,True,HOSPITAL_VS_COLOCATED_EHPAD,https://annuaire-entreprises.data.gouv.fr/etablissement/26680005100010,reports/v412_remaining_review_audit_batch2.csv
7373,MATCH_EXACT,78931279000015,789312790,HIGH,AMBIGUOUS,,78931279000015,48146271100021,True,False,True,UIMM_LEGAL_ENTITY_CONFUSION,https://uimm-alsace.fr/fr/12940708363620-mentions-legales-.html,reports/v412_remaining_review_audit_batch2.csv
7531,MATCH_EXACT,33389298200013,333892982,HIGH,AMBIGUOUS,,33389298200013,33389298200013,True,True,True,MISALIGNED_HISTORICAL_LABEL,https://annuaire-entreprises.data.gouv.fr/etablissement/33389298200013,reports/v412_remaining_review_audit_batch2.csv
7564,MATCH_EXACT,33271166200046,332711662,HIGH,AMBIGUOUS,,33271166200046,33271166200046,True,True,True,NEAR_ADDRESS_SIBLING,https://annuaire-entreprises.data.gouv.fr/etablissement/33271166200046,reports/v412_remaining_review_audit_batch2.csv
7747,MATCH_EXACT,43227290400017,432272904,HIGH,AMBIGUOUS,,43227290400017,43227290400017,True,True,True,MISALIGNED_HISTORICAL_LABEL,https://annuaire-entreprises.data.gouv.fr/etablissement/43227290400017,reports/v412_remaining_review_audit_batch2.csv
7749,MATCH_EXACT,87895687900026,878956879,HIGH,MATCH_EXACT,81395305600047,88941086600020,81395305600047,False,False,True,MISALIGNED_WRONG_GROUND_TRUTH,https://annuaire-entreprises.data.gouv.fr/etablissement/87895687900026,reports/v412_remaining_review_audit_batch2.csv
7961,MATCH_EXACT,48981110900250,489811109,HIGH,AMBIGUOUS,,48981110900250,48981110900250,True,True,True,HEAD_OFFICE_ADDRESS_CHANGED,https://annuaire-entreprises.data.gouv.fr/etablissement/48981110900250,reports/v412_remaining_review_audit_batch2.csv
8354,MATCH_EXACT,41412104600026,414121046,HIGH,AMBIGUOUS,,41412104600026,41412104600026,True,True,True,FALSE_AMBIGUOUS_LABEL,https://annuaire-entreprises.data.gouv.fr/etablissement/41412104600026,reports/v412_remaining_review_audit_batch2.csv
8540,MATCH_EXACT,83420427300017,834204273,HIGH,AMBIGUOUS,,83420427300017,83420427300017,True,True,True,COLOCATED_SUFFIXED_ENTITY,https://annuaire-entreprises.data.gouv.fr/etablissement/83420427300017,reports/v412_remaining_review_audit_batch2.csv
8617,MATCH_EXACT,82422814200298,824228142,HIGH,AMBIGUOUS,,30059912301215,82422814200298,False,True,True,STALE_AFPA_PREDECESSOR,https://www.intercariforef.org/formations/centre-afpa-de-montceau-les-mines/organisme-10_2327.html,reports/v412_remaining_review_audit_batch2.csv
8644,MATCH_EXACT,30098459800049,300984598,HIGH,AMBIGUOUS,,30098459800049,30098459800049,True,True,True,FALSE_AMBIGUOUS_LABEL,https://www.capronpodologie.com/mensions-legales,reports/v412_remaining_review_audit_batch2.csv
8675,MATCH_EXACT,83819462900047,838194629,HIGH,AMBIGUOUS,,83819462900047,83819462900047,True,True,True,FALSE_AMBIGUOUS_LABEL,https://annuaire-entreprises.data.gouv.fr/etablissement/83819462900047,reports/v412_remaining_review_audit_batch2.csv
8709,MATCH_EXACT,80492107000012,804921070,HIGH,AMBIGUOUS,,80492107000012,80492107000012,True,True,True,COLOCATED_QUALIFIED_GROUP_ENTITIES,https://vaisonpiste.com/img/cms/2023%20-%20Re%CC%80glement%20inte%CC%81rieur.pdf,reports/v412_remaining_review_audit_batch2.csv
8783,MATCH_EXACT,39909899500059,399098995,HIGH,AMBIGUOUS,,39909899500059,39909899500059,True,True,True,COLOCATED_QUALIFIED_GROUP_ENTITIES,https://www.sendin.com/mentions-legales/,reports/v412_remaining_review_audit_batch2.csv
9005,AMBIGUOUS,,,HIGH,AMBIGUOUS,,31533217100034,31533217100034,False,False,False,MULTIPLE_ARTHAUD_ENTITIES_COLOCATED,https://www.arthaud-associes.fr/mentions-legales/,reports/v412_remaining_review_audit_batch2.csv
9053,MATCH_EXACT,32968134000744,329681340,HIGH,AMBIGUOUS,,95851224600033,32968134000744,False,True,True,STALE_PREDECESSOR,https://www.foussier.fr/nos-magasins-et-points-de-retrait/plateforme-vaulx-velin/165,reports/v412_remaining_review_audit_batch2.csv
