query_id,label_kind,ground_truth_siret,reliability,error_family,evidence_reference,cohort,source_file
10710,MATCH_EXACT,82418653000021,HIGH,PUBLIC_ALIAS_EXACT_SITE,https://www.fnors.org/coordonnees-des-ors/,ACCEPTOR30,reports/v412_corrected_acceptor_independent_labels_30.csv
10713,MATCH_EXACT,82418653000021,HIGH,MULTISITE_BRANCH,https://www.ors-na.org/contact/,BLIND_B2,reports/v412_clean_target_independent_b2_labels_30.csv
1073,MATCH_EXACT,49927250800015,HIGH,FALSE_AMBIGUOUS_LABEL_AND_FALSE_REVIEW,reports/v412_remaining_review_audit_first5.md,OVERLAY60,reports/v412_corrected_review_overlay_60.csv
10912,AMBIGUOUS,,HIGH,COLOCATED_GROUP_ENTITIES,https://api-avis-situation-sirene.insee.fr/identification/pdf/82436343600778,BLIND_B2,reports/v412_clean_target_independent_b2_labels_30.csv
10928,MATCH_EXACT,39331355600036,HIGH,OFFICIAL_TERMS_SIRET,https://www.logitrade.fr/wp-content/uploads/CGV-Logitrade.pdf,ACCEPTOR30,reports/v412_corrected_acceptor_independent_labels_30.csv
10940,MATCH_EXACT,43374948800022,HIGH,MISSING_STREET_NUMBER,https://www.pappers.fr/entreprise/fdi-developpement-433749488,ACCEPTOR30,reports/v412_corrected_acceptor_independent_labels_30.csv
10958,MATCH_EXACT,58268078100496,HIGH,CURRENT_SIRET_AFTER_TRANSFER,https://annuaire-entreprises.data.gouv.fr/entreprise/582680781,BLIND_B2,reports/v412_clean_target_independent_b2_labels_30.csv
11059,AMBIGUOUS,,HIGH,COLOCATED_NETWORK_ENTITIES,https://www.pappers.fr/entreprise/j3d-technique-piscines-433030319,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
11123,MATCH_EXACT,43860010800056,HIGH,ADDRESS_TYPE_VARIATION,https://www.pappers.fr/entreprise/at-patrimoine-438600108,BLIND_B1,reports/v412_clean_target_independent_labels_30.csv
11171,MATCH_EXACT,38485731400064,HIGH,EXACT_ADDRESS_AMONG_MULTISITE,https://www.pappers.fr/entreprise/atole-384857314,BLIND_B1,reports/v412_clean_target_independent_labels_30.csv
11198,MATCH_EXACT,77567227214968,HIGH,PUBLIC_ALIAS_EXACT_SITE,https://annuaire-entreprises.data.gouv.fr/etablissement/77567227214968,BLIND_B1,reports/v412_clean_target_independent_labels_30.csv
11199,MATCH_EXACT,41500815000013,HIGH,LEGAL_SUFFIX_OMITTED,https://annuaire-entreprises.data.gouv.fr/entreprise/415008150,ACCEPTOR30,reports/v412_corrected_acceptor_independent_labels_30.csv
11201,MATCH_EXACT,85318202000018,HIGH,SUCCESSOR_ENTITY_DISAMBIGUATED,https://www.compufirst.com/mentions-legales,BLIND_B2,reports/v412_clean_target_independent_b2_labels_30.csv
11255,AMBIGUOUS,,HIGH,ADJUDICATED_REVIEW,reports/v412_review_adjudication_labels.csv,R30,reports/v412_review_adjudication_labels.csv
11262,MATCH_EXACT,39773214000041,HIGH,ADJUDICATED_REVIEW,reports/v412_review_adjudication_labels.csv,R30,reports/v412_review_adjudication_labels.csv
11323,MATCH_EXACT,35342315500038,HIGH,EXACT_NAME_ADDRESS,https://annuaire-entreprises.data.gouv.fr/entreprise/353423155,ACCEPTOR30,reports/v412_corrected_acceptor_independent_labels_30.csv
1140,AMBIGUOUS,,HIGH,STALE_NAME_AFTER_OPERATOR_TRANSFER,reports/v412_remaining_review_audit_first5.md,OVERLAY60,reports/v412_corrected_review_overlay_60.csv
11560,MATCH_EXACT,75184244400026,HIGH,EXACT_NAME_ADDRESS,https://www.societe.com/societe/jlv-promotion-751842444.html,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
11579,MATCH_EXACT,48256061200020,MEDIUM,COLOCATION_DISAMBIGUATED_BY_LOCAL_SITE,https://www.mdcs-groupe.com/contact/,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
11618,MATCH_EXACT,51080270500036,HIGH,ADDRESS_COMPLEMENT_VARIATION,https://www.confrerie-domaines.com/fr/contactez-nous,ACCEPTOR30,reports/v412_corrected_acceptor_independent_labels_30.csv
11678,MATCH_EXACT,42013544400024,HIGH,EXACT_NAME_ADDRESS,https://www.stbenoitimmo.com/agences/saint-benoit-immobilier-aniane/39,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
11702,MATCH_EXACT,49791530600045,HIGH,EXACT_NAME_ADDRESS,https://api-avis-situation-sirene.insee.fr/identification/pdf/49791530600045,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
11778,MATCH_EXACT,48887534500024,HIGH,EXACT_NAME_ADDRESS,https://api-avis-situation-sirene.insee.fr/identification/pdf/48887534500024,BLIND_B2,reports/v412_clean_target_independent_b2_labels_30.csv
11921,MATCH_EXACT,41137153700019,HIGH,EXACT_NAME_SITE,https://annuaire-entreprises.data.gouv.fr/entreprise/411371537,BLIND_B1,reports/v412_clean_target_independent_labels_30.csv
12061,MATCH_EXACT,30510977900077,HIGH,COLOCATED_GROUP_ENTITY,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
12062,MATCH_EXACT,46420036900252,HIGH,EXACT_SITE,https://annuaire-entreprises.data.gouv.fr/etablissement/46420036900252,BLIND_B1,reports/v412_clean_target_independent_labels_30.csv
12122,MATCH_EXACT,49862097000018,HIGH,SUCCESSOR_BY_MERGER,https://rukolinglin.com/mentions-legales/,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
12206,AMBIGUOUS,,HIGH,MULTI_ENTITY_OFFICE,https://www.societe.com/societe/bnp-paribas-personal-finance-542097902.html,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
12210,MATCH_EXACT,80472537200036,HIGH,EXACT_NAME_ADDRESS,https://www.pappers.fr/entreprise/urban-clean-804725372,BLIND_B1,reports/v412_clean_target_independent_labels_30.csv
12237,MATCH_EXACT,42156896500139,MEDIUM,STALE_ADDRESS_TRANSFER,https://www.oxya.com/contact/france/,BLIND_B2,reports/v412_clean_target_independent_b2_labels_30.csv
12298,MATCH_EXACT,44137831200025,MEDIUM,STALE_ADDRESS_CURRENT_ACTIVE_HEADQUARTERS,https://annuaire-entreprises.data.gouv.fr/etablissement/44137831200025,ACCEPTOR30,reports/v412_corrected_acceptor_independent_labels_30.csv
12383,MATCH_EXACT,44595007400382,HIGH,GROUP_BRAND_RESOLVED_BY_SITE,https://www.pappers.fr/entreprise/ramery-construction-445950074,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
12428,MATCH_EXACT,34738457000573,HIGH,EXACT_BRAND_ADDRESS,https://annuaire-entreprises.data.gouv.fr/entreprise/347384570,BLIND_B2,reports/v412_clean_target_independent_b2_labels_30.csv
12496,MATCH_EXACT,93263285400026,HIGH,FORMER_OPERATOR,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
12605,MATCH_EXACT,80863414100242,HIGH,MULTI_SITE_EXACT_ADDRESS,https://www.promotrans.fr/wp-content/uploads/2024/06/PROMOTRANS-FPC_Certificat-RNQ_2024-2027.pdf,BLIND_B2,reports/v412_clean_target_independent_b2_labels_30.csv
12635,MATCH_EXACT,79085782500026,HIGH,MULTI_SITE_EXACT_ADDRESS,https://www.dewaflex.com/contact,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
1264,MATCH_EXACT,60201069600147,HIGH,FALSE_AMBIGUOUS_LABEL,https://annuaire-entreprises.data.gouv.fr/etablissement/60201069600147,OVERLAY60,reports/v412_corrected_review_overlay_60.csv
12646,MATCH_EXACT,43898364500013,HIGH,EXACT_NAME_ADDRESS,https://www.pappers.fr/entreprise/lmg-finance-438983645,BLIND_B1,reports/v412_clean_target_independent_labels_30.csv
12649,MATCH_EXACT,31105112200084,HIGH,MULTISITE_RESOLVED_BY_EXACT_ADDRESS,https://www.leshallesmandar.com/contact/,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
12700,MATCH_EXACT,56208974800528,HIGH,EXACT_NAME_ADDRESS,https://annuaire-entreprises.data.gouv.fr/etablissement/56208974800528,ACCEPTOR30,reports/v412_corrected_acceptor_independent_labels_30.csv
13168,MATCH_EXACT,89106734000036,HIGH,SUBSIDIARY_VS_GROUP,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
13181,AMBIGUOUS,,MEDIUM,COLOCATED_MULTIPLE_ACTIVE_SIRETS,https://www.pappers.fr/entreprise/aft-775692015,BLIND_B2,reports/v412_clean_target_independent_b2_labels_30.csv
13231,AMBIGUOUS,,HIGH,COLOCATION_GROUPE,https://www.pappers.fr/entreprise/securitas-accueil-702011172,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
13266,MATCH_EXACT,40535660100022,HIGH,RETRIEVAL_MISS_STALE_ADDRESS,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
13273,MATCH_EXACT,48377254700038,HIGH,EXACT_NAME_ADDRESS,https://www.societe.com/societe/ginger-minds-483772547.html,BLIND_B2,reports/v412_clean_target_independent_b2_labels_30.csv
13505,MATCH_EXACT,80835946700020,HIGH,COLOCATED_PROPERTY_ENTITY,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
13516,MATCH_EXACT,33226488600026,HIGH,EXACT_NAME_ADDRESS,https://www.gueguenavocats.com/mentions-legales/,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
13522,MATCH_EXACT,44869695500088,HIGH,ADJUDICATED_REVIEW,reports/v412_review_adjudication_labels.csv,R30,reports/v412_review_adjudication_labels.csv
13579,MATCH_EXACT,53981554800034,HIGH,ADDRESS_SUFFIX_VARIATION,https://annuaire-entreprises.data.gouv.fr/entreprise/539815548,ACCEPTOR30,reports/v412_corrected_acceptor_independent_labels_30.csv
13668,MATCH_EXACT,50775846400022,HIGH,EXACT_NAME_ADDRESS,https://annuaire-entreprises.data.gouv.fr/entreprise/507758464,BLIND_B1,reports/v412_clean_target_independent_labels_30.csv
13687,MATCH_EXACT,78601858000039,HIGH,EXACT_NAME_ADDRESS,https://www.pappers.fr/entreprise/federation-du-batiment-de-loire-atlantique-786018580,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
13705,MATCH_EXACT,43937869600033,HIGH,EXACT_NAME_ADDRESS,https://annuaire-entreprises.data.gouv.fr/etablissement/43937869600033,BLIND_B1,reports/v412_clean_target_independent_labels_30.csv
13742,AMBIGUOUS,,HIGH,MULTIPLE_PROMOTRANS_ENTITIES,https://www.pappers.fr/entreprise/promotrans-fpc-promotrans-formation-professionnelle-continue-808634141,BLIND_B1,reports/v412_clean_target_independent_labels_30.csv
13754,MATCH_EXACT,44464953700131,MEDIUM,GENERIC_GROUP_NAME_BEST_LEGAL_ENTITY,https://annuaire-entreprises.data.gouv.fr/etablissement/44464953700131,ACCEPTOR30,reports/v412_corrected_acceptor_independent_labels_30.csv
13759,MATCH_EXACT,48748157400043,HIGH,LEGAL_ENTITY_AMONG_COLOCATED_GROUP,https://annuaire-entreprises.data.gouv.fr/etablissement/48748157400043,ACCEPTOR30,reports/v412_corrected_acceptor_independent_labels_30.csv
13801,MATCH_EXACT,30239426700140,MEDIUM,HOTEL_OPERATOR_VS_HR_GIE,https://all.accor.com/hotel/1394/index.fr.shtml,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
13806,MATCH_EXACT,40133616900024,HIGH,EXACT_NAME_ADDRESS,https://www.pappers.fr/entreprise/boreale-401336169,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
13820,MATCH_EXACT,45402394600220,HIGH,RESIDENCE_OPERATOR_VS_OWNERS,https://www.capwestresidence.fr/pdf/tarifs-la-chapelle-sur-erdre-leinster-fr.pdf,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
13832,MATCH_EXACT,82863313100028,HIGH,LEGAL_ENTITY_AMONG_COLOCATED_GROUP,https://www.pappers.fr/entreprise/amb-828633131,BLIND_B1,reports/v412_clean_target_independent_labels_30.csv
13893,MATCH_EXACT,42901934200030,HIGH,EXACT_NAME_ADDRESS,https://www.lephare.com/mentions-legales/,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
13923,MATCH_EXACT,84239312600029,HIGH,RETRIEVAL_MISS_CLOSED_ENTITY,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
13945,MATCH_EXACT,38867050700036,HIGH,EXACT_LEGAL_NAME_DESPITE_RELATED_COLOCATION,https://www.pappers.fr/entreprise/strategie-finance-patrimoine-388670507,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
13947,MATCH_EXACT,53856370100019,HIGH,LOCAL_LEGAL_ENTITY,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
13958,AMBIGUOUS,,HIGH,TWO_BRANDS_TWO_LEGAL_ENTITIES,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
13982,MATCH_EXACT,42006605200010,MEDIUM,ACTIVE_REGISTER_LIQUIDATION,https://www.pappers.fr/entreprise/snda-auto-luceenne-420066052,BLIND_B1,reports/v412_clean_target_independent_labels_30.csv
1400,MATCH_EXACT,26140100400013,HIGH,SUPPORT_SITE_VS_HOSPITAL,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
1401,MATCH_EXACT,26140092300320,HIGH,STALE_WRONG_GROUND_TRUTH,https://annuaire-entreprises.data.gouv.fr/etablissement/26140092300320,OVERLAY60,reports/v412_corrected_review_overlay_60.csv
14012,MATCH_EXACT,70020098300018,HIGH,LEGAL_ENTITY_AMONG_COLOCATED_GROUP,https://annuaire-entreprises.data.gouv.fr/etablissement/70020098300018,ACCEPTOR30,reports/v412_corrected_acceptor_independent_labels_30.csv
14388,MATCH_EXACT,81115948200017,HIGH,FORMER_OWNER_VS_OPERATOR,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
14461,MATCH_EXACT,79110129800010,HIGH,EXACT_NAME_ADDRESS,https://www.eterritoire.fr/territoires/ile-de-france/seine-et-marne/limoges-fourches/77252/31790?annuaire=&p=2,ACCEPTOR30,reports/v412_corrected_acceptor_independent_labels_30.csv
14474,MATCH_EXACT,41396735700026,HIGH,COLOCATED_PROPERTY_ENTITY,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
14502,MATCH_EXACT,32178451400051,HIGH,ADJUDICATED_REVIEW,reports/v412_review_adjudication_labels.csv,R30,reports/v412_review_adjudication_labels.csv
14693,MATCH_EXACT,48889128400033,HIGH,EXACT_NAME_ADDRESS,https://annuaire-entreprises.data.gouv.fr/etablissement/48889128400033,BLIND_B1,reports/v412_clean_target_independent_labels_30.csv
14804,MATCH_EXACT,82248646000030,HIGH,CURRENT_ACTIVE_SUCCESSOR_SITE,https://annuaire-entreprises.data.gouv.fr/entreprise/822486460,BLIND_B1,reports/v412_clean_target_independent_labels_30.csv
14805,MATCH_EXACT,42038702900010,HIGH,ACTIVE_REGISTER_LIQUIDATION,https://www.pappers.fr/entreprise/collard-trolart-thermique-420387029,BLIND_B1,reports/v412_clean_target_independent_labels_30.csv
14809,MATCH_EXACT,44532059100032,HIGH,EXACT_NAME_ADDRESS,https://www.pappers.fr/entreprise/ebene-tradition-445320591,BLIND_B2,reports/v412_clean_target_independent_b2_labels_30.csv
14810,MATCH_EXACT,53980820400033,HIGH,COLOCATED_PROPERTY_ENTITY,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
14915,MATCH_EXACT,38349340000014,HIGH,SUBSIDIARY_VS_EXACT_LEGAL_NAME,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
1495,MATCH_EXACT,90370122500018,HIGH,COLOCATED_EXACT_LEGAL_NAME,reports/v412_ranker_independent_validation_labels.csv,R7,reports/v412_ranker_independent_validation_labels.csv
14965,MATCH_EXACT,74705004500026,HIGH,EXACT_NAME_ADDRESS,https://www.pappers.fr/entreprise/polimiroir-747050045,ACCEPTOR30,reports/v412_corrected_acceptor_independent_labels_30.csv
1501,AMBIGUOUS,,MEDIUM,NO_EXACT_NAME_AMONG_COLOCATED_ENTITIES,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
15098,MATCH_EXACT,44898994700024,HIGH,STREET_TYPE_VARIANT,https://api-avis-situation-sirene.insee.fr/identification/pdf/44898994700024,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
15110,MATCH_EXACT,32543762200013,HIGH,COLOCATED_PROPERTY_ENTITY,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
15169,MATCH_EXACT,45387794600054,HIGH,ADJUDICATED_REVIEW,reports/v412_review_adjudication_labels.csv,R30,reports/v412_review_adjudication_labels.csv
15182,MATCH_EXACT,78497191300222,HIGH,COMPOUND_ADDRESS,https://www.adapei77.org/etablissements/la-marguette/4/,BLIND_B2,reports/v412_clean_target_independent_b2_labels_30.csv
15196,MATCH_EXACT,78497191300339,HIGH,PUBLIC_ALIAS_EXACT_SITE,https://www.adapei77.org/etablissements/les-ormes/5/,ACCEPTOR30,reports/v412_corrected_acceptor_independent_labels_30.csv
15204,MATCH_EXACT,20003309000016,HIGH,ADJUDICATED_REVIEW,reports/v412_review_adjudication_labels.csv,R30,reports/v412_review_adjudication_labels.csv
15253,MATCH_EXACT,78497191300438,HIGH,MULTI_SITE_EXACT_ADDRESS,https://annuaire-entreprises.data.gouv.fr/etablissement/78497191300438,BLIND_B2,reports/v412_clean_target_independent_b2_labels_30.csv
15330,MATCH_EXACT,32711362700019,HIGH,RANKER_MISSED_TRUE_CANDIDATE_RANK23,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
15341,MATCH_EXACT,50926602900016,HIGH,ABBREVIATED_LEGAL_NAME,https://entreprises.lefigaro.fr/axe-architecture-industrielle-et-cial-77/entreprise-509266029,BLIND_B2,reports/v412_clean_target_independent_b2_labels_30.csv
15363,MATCH_EXACT,82807079700034,HIGH,EXACT_NAME_ADDRESS,https://www.leboncoin.fr/boutique/336063/vtm_auto.htm,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
15448,MATCH_EXACT,98779962400018,HIGH,ADJUDICATED_REVIEW,reports/v412_review_adjudication_labels.csv,R30,reports/v412_review_adjudication_labels.csv
1545,MATCH_EXACT,21140009800011,HIGH,MUNICIPAL_SUBSITE_VS_MAIN_ENTITY,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
15470,MATCH_EXACT,75188876900104,MEDIUM,ADJUDICATED_REVIEW,reports/v412_review_adjudication_labels.csv,R30,reports/v412_review_adjudication_labels.csv
15763,MATCH_EXACT,79213618600022,HIGH,LEGAL_SUCCESSOR_AFTER_CROSS_BORDER_MERGER,https://api-avis-situation-sirene.insee.fr/identification/pdf/79213618600022,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
15827,MATCH_EXACT,38842259400043,HIGH,LEGAL_ENTITY_AMONG_COLOCATED_GROUP,https://www.pappers.fr/entreprise/laboratoires-innothera-388422594,ACCEPTOR30,reports/v412_corrected_acceptor_independent_labels_30.csv
15828,MATCH_EXACT,52503152201273,HIGH,MULTI_SITE_EXACT_ADDRESS,https://www.fidal.com/nos-implantations/paris/versailles,BLIND_B2,reports/v412_clean_target_independent_b2_labels_30.csv
15981,MATCH_EXACT,32445680500070,HIGH,TRANSFERRED_SEAT_ACTIVE_BRANCH,https://annuaire-entreprises.data.gouv.fr/entreprise/324456805,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
16023,MATCH_EXACT,48492277800010,HIGH,COLOCATION_RESOLVED_BY_NAME,https://www.pappers.fr/entreprise/vente-uniquecom-484922778,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
16028,MATCH_EXACT,41266854300108,HIGH,COLOCATED_NAME_EXACT,https://annuaire-entreprises.data.gouv.fr/entreprise/412668543,BLIND_B2,reports/v412_clean_target_independent_b2_labels_30.csv
16093,MATCH_EXACT,48529057100044,HIGH,EXACT_NAME_ADDRESS,https://annuaire-entreprises.data.gouv.fr/etablissement/48529057100044,ACCEPTOR30,reports/v412_corrected_acceptor_independent_labels_30.csv
16191,MATCH_EXACT,38929058600269,HIGH,SITE_SIRET_VS_GROUP_HEADQUARTERS,https://annuaire-entreprises.data.gouv.fr/etablissement/38929058600269,BLIND_B1,reports/v412_clean_target_independent_labels_30.csv
16308,MATCH_EXACT,48274107100021,HIGH,COLOCATED_PROPERTY_ENTITY,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
16436,MATCH_EXACT,50152402900086,HIGH,OFFICIAL_LEGAL_NOTICE,https://www.francemm.com/fr/legal-notice,BLIND_B1,reports/v412_clean_target_independent_labels_30.csv
16455,MATCH_EXACT,44191653300041,HIGH,LEGAL_ENTITY_AMONG_COLOCATED_GROUP,https://www.pappers.fr/entreprise/sopribat-441916533,BLIND_B1,reports/v412_clean_target_independent_labels_30.csv
16700,MATCH_EXACT,78461733400098,HIGH,MULTISITE_BRANCH,https://annuaire-entreprises.data.gouv.fr/entreprise/784617334,BLIND_B2,reports/v412_clean_target_independent_b2_labels_30.csv
16721,MATCH_EXACT,75017758600013,HIGH,ADJUDICATED_REVIEW,reports/v412_review_adjudication_labels.csv,R30,reports/v412_review_adjudication_labels.csv
16784,MATCH_EXACT,34081848300018,HIGH,WRONG_SITE_SAME_SIREN,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
17037,MATCH_EXACT,44489928000028,HIGH,EXACT_NAME_ADDRESS,https://annuaire-entreprises.data.gouv.fr/entreprise/godefroid-publicite-444899280,ACCEPTOR30,reports/v412_corrected_acceptor_independent_labels_30.csv
1710,MATCH_EXACT,20006502700019,HIGH,ADJUDICATED_REVIEW,reports/v412_review_adjudication_labels.csv,R30,reports/v412_review_adjudication_labels.csv
1739,MATCH_EXACT,49011913800025,HIGH,FALSE_AMBIGUOUS_LABEL,https://jmprestations.com/mentions-legales/,OVERLAY60,reports/v412_corrected_review_overlay_60.csv
1772,MATCH_EXACT,80499169300016,HIGH,COLOCATED_RELATED_ENTITY,https://annuaire-entreprises.data.gouv.fr/etablissement/80499169300016,OVERLAY60,reports/v412_corrected_review_overlay_60.csv
1828,MATCH_EXACT,31804514300027,MEDIUM,BRANDED_SUBSITE_VS_GENERIC_CRM,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
2036,MATCH_EXACT,40089260000026,HIGH,COLOCATED_RELATED_ENTITY,https://www.societe.com/societe/geemarc-telecom-sa-400892600.html,OVERLAY60,reports/v412_corrected_review_overlay_60.csv
2107,MATCH_EXACT,48125862200044,MEDIUM,ADDRESS_SUFFIX_AND_ACTIVITY,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
2318,MATCH_EXACT,76680017100015,HIGH,COLOCATED_PROPERTY_ENTITY,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
2404,MATCH_EXACT,26540011900011,HIGH,SUPPORT_SITE_VS_HOSPITAL,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
2413,MATCH_EXACT,66204244922034,HIGH,FALSE_AMBIGUOUS_LABEL,https://nos-agences.mabanque.bnpparibas/grand-est/meurthe-et-moselle/jarville-la-malgrange/bnp-paribas-espace-er-alsace-lorraine-3001,OVERLAY60,reports/v412_corrected_review_overlay_60.csv
2423,MATCH_EXACT,52503152200143,HIGH,STALE_PREDECESSOR,https://www.pappers.fr/entreprise/fidal-525031522,OVERLAY60,reports/v412_corrected_review_overlay_60.csv
2454,MATCH_EXACT,33249506800386,HIGH,ADJUDICATED_REVIEW,reports/v412_review_adjudication_labels.csv,R30,reports/v412_review_adjudication_labels.csv
2483,MATCH_EXACT,50760857800021,HIGH,FALSE_AMBIGUOUS_LABEL,https://www.societe.com/societe/vandis-507608578.html,OVERLAY60,reports/v412_corrected_review_overlay_60.csv
2499,AMBIGUOUS,,MEDIUM,MULTIPLE_CONSTRUCTYS_WITHOUT_REFERENCE_DATE,https://annuaire-entreprises.data.gouv.fr/entreprise/301484465,OVERLAY60,reports/v412_corrected_review_overlay_60.csv
2525,MATCH_EXACT,41871093500036,HIGH,FALSE_AMBIGUOUS_LABEL,https://annuaire-entreprises.data.gouv.fr/etablissement/41871093500036,OVERLAY60,reports/v412_corrected_review_overlay_60.csv
2682,MATCH_EXACT,44275189700061,HIGH,COLOCATED_FINANCIAL_ENTITY,https://annuaire-entreprises.data.gouv.fr/etablissement/44275189700061,OVERLAY60,reports/v412_corrected_review_overlay_60.csv
