N° Service;N° Contrat;Date création;Date signature;Type;Projet;Réf commande client;Date activation;Statut Saisie;Etat;Type réseau;Réseau;Opérateur commercial;Technologie;Offre;Actif/passif Ftth;Redevance;Redevance (ancien tarif);Périodicité facturation;GTR;Options;GTR (ancien tarif);FAS;FAR;FAD;PDC 12m;PDC FAS/FAR (hors FAD);PDC totale;Type de pack;Type de GTR;Débit;Engagement (mois);Porte de Collecte;Client final;Adresse;Commune;Code Postal;Code INSEE;Longueur FON (m);Source;Zone Technique
AC002451;GDL-855-18-0004;20/03/2018;22/03/2018;Création (A);;ISOJET BPEA;27/06/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;DESTINY FRANCE PARTENAIRES  OP;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_12 mois;;/2M100M;12;CN001066;ISOJET;14 Boulevard des Nations;CORBAS;69960;69273;0;COVAGE INFRA;
AC002573;GDL-147-18-0017;12/04/2018;16/04/2018;Création (A);;Sirene SAS BPEA;05/07/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;MUONA SAS;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_12 mois;;/2M100M;12;;Sirene SAS;84 Avenue des Bruyères;DECINES CHARPIEU;69150;69275;0;COVAGE INFRA;
AC002594;GDL-207-18-0020;16/04/2018;16/04/2018;Création (A);;;27/04/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;INIT SYS ALPHALINK;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_12 mois;;/2M100M;12;CN001030;JOURDAN ET MARZE;69 Rue Marcel Merieux;CORBAS;69960;69273;0;COVAGE INFRA;
AC002679;GDL-768-18-0010;03/05/2018;03/05/2018;Création (A);;;18/05/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;CORIOLIS TELECOM;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_12 mois;;/2M100M;12;CN001051;GIE FLAVIEN;16 RUE DE LOMBARDIE;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
AC003092;GDL-189-18-0028;29/06/2018;29/06/2018;Création (A);;GAT International BPEA;29/11/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;ANGELINKS;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_12 mois;;/2M100M;12;;GAT International;est 4 rue de Collières;CORBAS;69960;69273;0;COVAGE INFRA;
AC003112;GDL-207-18-0026;14/06/2018;14/06/2018;Création (A);;;03/08/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;INIT SYS ALPHALINK;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_12 mois;;/2M100M;12;CN001030;FONTBONNE & FILS;57 Rue Émile Zola;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
AC003120;GDL-441-18-0038;14/05/2018;06/06/2018;Création (A);;AST DECINES BPEA;24/08/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;MC2A;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_24 mois;;/2M100M;24;;AST DECINES;35 rue Emile Zola, Rez-de-chaussée;DECINES CHARPIEU;69150;69275;0;COVAGE INFRA;
AC003137;GDL-441-18-0016;11/05/2018;06/06/2018;Création (A);;AGE CORBAS BPEA;31/07/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;MC2A;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_24 mois;;/2M100M;24;;AGE CORBAS;4 rue du Mont Blanc;CORBAS;69960;69273;0;COVAGE INFRA;
AC003493;GDL-018-18-0088;27/08/2018;27/08/2018;Création (A);;4001696;17/09/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;BOUYGUES TELECOM;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_12 mois;;/2M100M;12;CN001128;SOPINVEST;92 Avenue des Bruyères;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
AC003504;GDL-768-18-0014;23/08/2018;23/08/2018;Création (A);;;15/10/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;CORIOLIS TELECOM;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_12 mois;;/2M100M;12;CN001051;ASL;69 Rue Marcel Merieux;CORBAS;69960;69273;0;COVAGE INFRA;
AC003732;GDL-147-18-0028;01/10/2018;01/10/2018;Création (A);;;31/05/2019;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;MUONA SAS;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_12 mois;;/2M100M;12;;SARL White Warehouse;133 AVENUE FRANKLIN ROOSEVELT;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
AC003733;GDL-147-18-0029;01/10/2018;01/10/2018;Création (A);;;12/03/2019;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;MUONA SAS;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_12 mois;;/2M100M;12;;SARL White Warehouse Site 2;79 AVENUE FRANKLIN ROOSEVELT;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
AC004447;CMD_X_00006159;12/06/2025;13/06/2025;Upgrade (A);;;18/06/2025;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;KOESIO NETWORKS;FttO;BPEA;;5,00 €;75,00 €;Mensuelle;;;;;;;60,00 €;;60,00 €;BPEA 5M/100M_36 mois;;/5M100M;36;;TRANSPORTS FRIGORIFIQUES DU VIVARAIS;24 Avenue du 24 Août 1944;CORBAS;69960;69273;0;COVAGE INFRA;
AC004563;GDL-223-18-0012;28/12/2018;28/12/2018;Création (A);;;25/01/2019;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;ADISTA FINGERPRINT;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_24 mois;;/2M100M;24;;Blanc-Rosset Lyon;5 RUE DU MONT BLANC;CORBAS;69960;69273;0;COVAGE INFRA;
AC004658;GDL-207-19-0001;07/01/2019;07/01/2019;Création (A);;;01/04/2019;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;INIT SYS ALPHALINK;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_24 mois;;/2M100M;24;CN001030;COULEUR PRIMEUR;69 Rue Marcel Merieux;CORBAS;69960;69273;0;COVAGE INFRA;
AC004664;GDL-010-19-0002;02/01/2019;03/01/2019;Création (A);;Simonetti BPEA 2/100;30/01/2019;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;ALSATIS SERVICES;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_24 mois;;/2M100M;24;CN001022;Simonetti;167 avenue Franklin Roosevelt;DECINES CHARPIEU;69150;69275;0;COVAGE INFRA;
AC004839;GDL-134-19-0005;30/01/2019;30/01/2019;Création (A);;;11/07/2019;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;KOESIO NETWORKS;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_24 mois;;/2M100M;24;;SOCIETE MODERNE D'ISOLATION;33 Route de Lyon;CORBAS;69960;69273;0;COVAGE INFRA;
AC005251;GDL-189-19-0011;14/03/2019;14/03/2019;Création (A);;;24/06/2019;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;ANGELINKS;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_24 mois;;/2M100M;24;CN001073;RHODANIENNE DE NEGOCE ET DE LOCATION;Rue Louis Pradel;CORBAS;69960;69273;0;COVAGE INFRA;
AC005272;GDL-114-19-0004;17/03/2019;18/03/2019;Création (A);;99340611-MTR;14/06/2019;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;ORANGE BUSINESS SERVICES SA;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_12 mois;;/2M100M;12;;CORBAS - ALLENDE;38 avenue Salvador Allende;CORBAS;69960;69273;0;COVAGE INFRA;
AC005349;GDL-855-19-0004;21/03/2019;21/03/2019;Création (A);;;24/05/2019;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;DESTINY FRANCE PARTENAIRES  OP;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_24 mois;;/2M100M;24;CN001066;BAGTROTTER;20 Rue Paul et Marc Barbezat;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
AC006149;GDL-189-19-0026;06/06/2019;06/06/2019;Création (A);;;19/07/2019;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;ANGELINKS;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_24 mois;;/2M100M;24;;ELLERS;29 Boulevard Charles de Gaulle;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
AC006165;GDL-147-19-0020;11/06/2019;11/06/2019;Création (A);;;01/07/2019;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;MUONA SAS;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_24 mois;;/2M100M;24;;HTI MED;65 Avenue Franklin Roosevelt;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
AC006166;GDL-147-19-0019;11/06/2019;11/06/2019;Création (A);;;29/07/2019;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;MUONA SAS;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_24 mois;;/2M100M;24;;HTI Technologies;49 Avenue Franklin Roosevelt;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
AC006508;GDL-088-19-0008;04/07/2019;04/07/2019;Création (A);;COV94648;04/09/2019;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;DESTINY FRANCE ENTREPRISES IP;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_24 mois;;/2M100M;24;;DOLONIS;42 Rue Vaucanson;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
AC007097;GDL-147-19-0032;12/09/2019;12/09/2019;Création (A);;;13/11/2019;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;MUONA SAS;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_24 mois;;/2M100M;24;;ADEL;29 Boulevard Charles de Gaulle;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
AC007450;GDL-207-19-0044;15/10/2019;15/10/2019;Création (A);;102019101082;17/12/2019;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;INIT SYS ALPHALINK;FttO;BPEA;;75,00 €;;Mensuelle;;;;;;;900,00 €;;900,00 €;BPEA 2M/100M_24 mois;;/2M100M;24;CN001264;PEINTURE VALBERT SAS;8 Rue Paul et Marc Barbezat;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
AC008296;GDL-234-19-0119;31/12/2019;31/12/2019;Création (A);;HV-2287-LF;16/03/2020;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;LINKT;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_36 mois;;/2M100M;24;CN001083;SMEG France;83 Rue Marcel Mérieux;CORBAS;69960;69273;0;COVAGE INFRA;
AC008549;GDL-855-20-0003;22/01/2020;28/01/2020;Création (A);;;14/02/2020;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;DESTINY FRANCE PARTENAIRES  OP;FttO;BPEA;;200,00 €;;Mensuelle;;;;360,00 €;;;2 400,00 €;360,00 €;2 760,00 €;BPEA 10M/100M_24 mois;;/10M100M;24;CN001066;SERF EXTREMITY;16 RUE DE LOMBARDIE;DECINES CHARPIEU;69150;69275;0;COVAGE INFRA;
AC008571;GDL-365-20-0003;30/01/2020;31/01/2020;Création (A);;;05/05/2020;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;FLEX NETWORK;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_24 mois;;/2M100M;36;;COMPTOIR DE L AIL;69 Rue Marcel Merieux;CORBAS;69960;69273;0;COVAGE INFRA;
AC008702;GDL-855-20-0005;05/02/2020;07/02/2020;Création (A);;COM112216;28/05/2020;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;DESTINY FRANCE PARTENAIRES  OP;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_24 mois;;/2M100M;24;CN001066;FRUITAS SANCHEZ;69 Rue Marcel Mérieux;CORBAS;69960;69273;0;COVAGE INFRA;
AC008981;GDL-365-20-0005;28/02/2020;28/02/2020;Création (A);;;06/04/2020;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;FLEX NETWORK;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_24 mois;;/2M100M;36;;FEMAT;28 RUE LOUIS PRADEL;CORBAS;69960;69273;0;COVAGE INFRA;
AC009818;GDL-634-20-0006;25/06/2020;30/06/2020;Création (A);;Corallis BPEA 2/100;23/07/2020;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;T CONNECT;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_24 mois;;/2M100M;36;CN001478;CORALLIS;6 Rue du Dauphiné;CORBAS;69960;69273;0;COVAGE INFRA;
AC010370;GDL-088-20-0012-1;24/04/2023;31/05/2023;Création (A);;;05/06/2023;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;DESTINY FRANCE ENTREPRISES IP;FttO;BPEA;;190,00 €;;Mensuelle;;;;;;;2 280,00 €;;2 280,00 €;BPEA 10M/100M_36 mois;;/10M100M;36;CN001539;CAP VI CORBAS;2 Avenue de l Industrie;CORBAS;69960;69273;0;COVAGE INFRA;
AC010371;GDL-223-20-0007;21/08/2020;24/08/2020;Création (A);;;16/09/2020;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;ADISTA FINGERPRINT;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_24 mois;;/2M100M;24;CN001365;La Tresse du Boucher;4 impasse du Rhone;CORBAS;69960;69273;0;COVAGE INFRA;
AC010757;GDL-507-20-0036;05/10/2020;05/10/2020;Création (A);;344232;23/10/2020;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;SEWAN;FttO;BPEA;;200,00 €;;Mensuelle;;;;360,00 €;;;2 400,00 €;360,00 €;2 760,00 €;BPEA 10M/100M_24 mois;;/10M100M;36;CN001050;FOYER NOTRE DAME DES SANS ABRI DECINES CHARPIEU;51 Avenue Franklin Roosevelt;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
AC011537;GDL-454-20-0015;23/12/2020;23/12/2020;Création (A);;477425  SEI LYON;18/05/2021;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;PARITEL OPERATEUR;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_24 mois;;/2M100M;24;CN001330;SEI LYON;32 Rue Louis Pradel;CORBAS;69960;69273;0;COVAGE INFRA;
AC011747;GDL-466-21-0003-1;15/02/2024;19/02/2024;Modification de ligne (A);;;21/02/2024;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;TIMS;FttO;BPEA;;80,00 €;;Mensuelle;;;;;;50,00 €;960,00 €;;960,00 €;BPEA 5M/100M_36 mois;;/5M100M;24;CN012203;Mecanhor;103 Avenue Franklin Roosevelt;DECINES CHARPIEU;69150;69275;0;COVAGE INFRA;
AC012014;GDL-189-21-0005;17/02/2021;18/02/2021;Création (A);;MASE RHONE ALPES;10/03/2021;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;ANGELINKS;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_24 mois;;/2M100M;24;;MASE RHONE ALPES;4 Avenue du 24 Août 1944;CORBAS;69960;69273;0;COVAGE INFRA;
AC012390;GDL-443-21-0004;31/03/2021;31/03/2021;Création (A);;;29/04/2021;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;SYSTAILOR;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_24 mois;;/2M100M;36;;DELTA SERVICE LOCATION;29 Route de Lyon;CORBAS;69960;69273;0;COVAGE INFRA;
AC012477;GDL-806-21-0004;02/04/2021;13/04/2021;Création (A);;L00000035886;11/05/2021;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;UNYC;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_24 mois;;/2M100M;24;CN001304;EBERLE;20 BOULEVARD DES NATIONS;CORBAS;69960;69273;0;COVAGE INFRA;
AC015087;GDL-088-21-0022;20/09/2021;22/09/2021;Création (A);;;29/10/2021;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;DESTINY FRANCE ENTREPRISES IP;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_24 mois;;/2M100M;24;CN001539;METALDYNE-  AAM Powertrain Decines Manufacturing Facility;51 Rue Vaucanson;DECINES CHARPIEU;69150;69275;0;COVAGE INFRA;
AC016485;GDL-507-22-0013;06/04/2022;06/04/2022;Création (A);;398 133;25/05/2022;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;SEWAN;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_36 mois;;/2M100M;36;CN021634;DIATEX;8 Avenue de l’Industrie;CORBAS;69960;69273;0;COVAGE INFRA;
AC016621;GDL-189-22-0014;28/04/2022;29/04/2022;Création (A);;DAD;12/07/2022;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;ANGELINKS;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_36 mois;;/2M100M;36;FR010442;DAD;7 Avenue de Montmartin;CORBAS;69960;69273;0;COVAGE INFRA;
AC016811;GDL-768-22-0004;31/05/2022;07/06/2022;Création (A);;CO-1009039-1;06/07/2022;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;CORIOLIS TELECOM;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_36 mois;;/2M100M;24;CN001340;LES DOUCEURS DU MOULIN;69 Rue Marcel Mérieux;CORBAS;69960;69273;0;COVAGE INFRA;
AC016899;GDL-855-22-0006;20/06/2022;21/06/2022;Création (A);;;22/07/2022;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;DESTINY FRANCE PARTENAIRES  OP;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_36 mois;;/2M100M;24;CN001419;ATOUT GAZ;89 Avenue des Bruyères, Bâtiment B;DECINES CHARPIEU;69150;69275;0;COVAGE INFRA;
AC016924;GDL-207-22-0005;23/06/2022;24/06/2022;Création (A);;;09/08/2022;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;INIT SYS ALPHALINK;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_36 mois;;/2M100M;24;CN001264;REP;15 RUE DU DAUPHINE;CORBAS;69960;69273;0;COVAGE INFRA;
AC016994;GDL-423-22-0003;07/07/2022;07/07/2022;Création (A);;;01/09/2022;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;KERTEL;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_36 mois;;/2M100M;36;CN001137;TRANS GROUPAGE EXPRESS;8 Avenue de l’Industrie;CORBAS;69960;69273;0;COVAGE INFRA;
AC017370;GDL-215-22-0004;07/10/2022;07/10/2022;Création (A);;AW65863-8373;26/12/2022;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;APPLIWAVE;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_36 mois;;/2M100M;36;CN001286;MERGER;15 Avenue de Montmartin;CORBAS;69960;69273;0;COVAGE INFRA;
AC017744;GDL-034-22-0003;26/12/2022;26/12/2022;Création (A);;EASYDIS CORBAS 479924;11/10/2023;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;HEXATEL;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_36 mois;;/2M100M;36;CN020937;EASYDIS CORBAS;44 Boulevard des Nations;CORBAS;69960;69273;0;COVAGE INFRA;
